timestamp_iso,timestamp_epoch,token_id,slug,outcome,bestBid,bestAsk,spread,mid,microprice,imbalance_topN,bid_depth_topN,ask_depth_topN,spread_percentile_60s,bid_depth_total,ask_depth_total,tape_ts_epoch,tape_source
2026-03-06T17:48:47Z,1772819327,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.85,0.86,0.01,0.855,0.8515116279,0.3128934924,4768.04,10470.5,100,7709.56,20189.4,1772819327,CLOB_BOOK
2026-03-06T17:48:48Z,1772819328,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.84,0.85,0.01,0.845,0.8468534631,0.3383553011,5122.3,10016.52,100,8083.82,20627.42,1772819328,CLOB_BOOK
2026-03-06T17:48:49Z,1772819329,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.85,0.86,0.01,0.855,0.8510869565,0.3256963249,5102.3,10563.52,100,8043.82,20322.42,1772819329,CLOB_BOOK
2026-03-06T17:48:50Z,1772819330,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.84,0.85,0.01,0.845,0.8445790737,0.3386773704,5177.3,10109.52,100,8138.82,20720.42,1772819330,CLOB_BOOK
2026-03-06T17:48:52Z,1772819332,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.85,0.86,0.01,0.855,0.853575,0.3691270648,5755.3,9836.35,100,8696.82,19595.25,1772819332,CLOB_BOOK
2026-03-06T17:48:53Z,1772819333,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.86,0.87,0.01,0.865,0.8680003232,0.32889902,5380.39,10978.4,100,8601.82,19135.3,1772819333,CLOB_BOOK
2026-03-06T17:48:54Z,1772819334,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.86,0.87,0.01,0.865,0.8642948491,0.3242630222,5403.96,11261.4,100,8646.39,19418.3,1772819334,CLOB_BOOK
2026-03-06T17:48:56Z,1772819336,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.86,0.87,0.01,0.865,0.8689870326,0.3501043933,5754.96,10682.88,100,9037.39,18929.78,1772819336,CLOB_BOOK
2026-03-06T17:48:57Z,1772819337,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.86,0.87,0.01,0.865,0.8616639972,0.3049777624,5080.53,11578.16,100,8362.96,19695.06,1772819337,CLOB_BOOK
2026-03-06T17:48:58Z,1772819338,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.84,0.85,0.01,0.845,0.8427658035,0.3542434582,5273.3,9612.79,100,8234.82,20233.69,1772819338,CLOB_BOOK
2026-03-06T17:48:59Z,1772819339,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.84,0.85,0.01,0.845,0.845199808,0.3279614051,4551.96,9327.6,100,7513.48,19955.5,1772819339,CLOB_BOOK
2026-03-06T17:49:01Z,1772819341,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.85,0.86,0.01,0.855,0.851025641,0.3590141345,5656.3,10098.79,100,8597.82,19864.69,1772819341,CLOB_BOOK
2026-03-06T17:49:02Z,1772819342,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.85,0.86,0.01,0.855,0.85169279,0.3624963515,5725.3,10068.79,100,8666.82,19834.69,1772819342,CLOB_BOOK
2026-03-06T17:49:03Z,1772819343,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.84,0.85,0.01,0.845,0.8414128568,0.3158036339,4753.89,10299.42,100,7734.41,20877.32,1772819343,CLOB_BOOK
2026-03-06T17:49:05Z,1772819345,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.84,0.85,0.01,0.845,0.846737304,0.3702184457,5530.76,9408.42,100,8492.28,20026.32,1772819345,CLOB_BOOK
2026-03-06T17:49:06Z,1772819346,48223161834289396465080633869075436205475087142818341885076118277066544242817,ethereum-up-or-down-march-6-12pm-et,Down,0.84,0.85,0.01,0.845,0.8465277175,0.3545247152,5243.3,9546.36,100,8204.82,20164.26,1772819346,CLOB_BOOK
